                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7906,                 2.0065,                 1.7312,                0.59693,                0.67455,                0.65787,                0.40711,                 1.3016,                 1.0275,                 1.5158,               0.003306,               0.003306,               0.003306
                      2,                 1.4447,                 1.1219,                 1.4429,                0.51568,                0.70575,                0.59677,                0.36675,                  1.321,                 1.1141,                 1.4523,              0.0066229,              0.0066229,              0.0066229
                      3,                 1.4296,                 1.0744,                 1.3786,                0.65871,                0.70212,                0.73434,                0.44558,                 1.3239,                 0.9762,                 1.3561,              0.0099233,              0.0099233,              0.0099233
                      4,                 1.4079,                 1.0273,                 1.3335,                0.68875,                0.73091,                0.76237,                0.48208,                 1.2548,                  0.819,                 1.3546,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.3631,                0.95559,                 1.3072,                0.67056,                0.74997,                0.74647,                0.48016,                 1.2124,                0.81308,                 1.2738,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.3295,                0.92531,                 1.2845,                0.72098,                0.73046,                0.77226,                0.49669,                 1.2266,                0.75375,                 1.2894,               0.009901,               0.009901,               0.009901
                      7,                 1.3126,                0.87745,                 1.2626,                0.74304,                 0.7158,                0.78224,                0.51086,                 1.1987,                0.73107,                 1.2632,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.2956,                0.87321,                 1.2689,                0.66047,                  0.734,                0.76377,                0.48269,                 1.2489,                0.77761,                 1.3033,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.2753,                0.84479,                 1.2553,                0.66959,                0.72576,                0.76804,                0.49775,                  1.218,                 0.8122,                 1.3003,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.2569,                0.81757,                 1.2471,                 0.7345,                0.67528,                0.75298,                0.48674,                 1.2138,                0.83595,                 1.2812,               0.009802,               0.009802,               0.009802
                     11,                 1.2363,                0.79336,                 1.2259,                0.73647,                0.73608,                0.78886,                 0.5138,                 1.2146,                0.72444,                 1.2773,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.2307,                0.79102,                 1.2286,                0.68345,                0.74488,                0.75917,                0.49231,                 1.2104,                0.73257,                 1.3021,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.2092,                0.76485,                 1.2231,                0.72729,                0.74058,                0.79451,                0.51833,                 1.2142,                 0.6983,                 1.2915,              0.0097278,              0.0097278,              0.0097278
                     14,                  1.191,                0.75188,                  1.214,                0.72628,                 0.7371,                0.78761,                 0.5084,                  1.224,                0.72679,                 1.3008,               0.009703,               0.009703,               0.009703
                     15,                  1.179,                0.74641,                 1.2021,                0.72742,                0.74937,                0.78486,                0.51035,                 1.2087,                0.69977,                 1.2811,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.1642,                0.72102,                 1.1867,                0.74815,                0.74103,                0.78992,                0.51357,                 1.2123,                0.69984,                 1.2906,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.1495,                0.72723,                 1.1894,                0.76153,                0.71406,                0.78689,                0.51705,                 1.2034,                0.69167,                 1.2925,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.1533,                0.71582,                 1.1904,                0.73821,                0.72955,                0.78283,                0.51084,                 1.1963,                 0.7013,                 1.2931,               0.009604,               0.009604,               0.009604
                     19,                 1.1359,                0.69283,                 1.1856,                0.74031,                 0.7445,                0.79257,                0.51545,                  1.205,                0.69842,                 1.2866,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.1154,                0.69186,                 1.1676,                0.73939,                0.75675,                0.80295,                 0.5198,                   1.21,                0.69201,                 1.3008,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.1091,                 0.6771,                 1.1692,                0.72416,                0.76537,                0.79864,                0.52078,                 1.1952,                0.69546,                 1.2942,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.0943,                0.67861,                 1.1629,                0.71878,                0.76535,                0.78589,                0.51548,                 1.2057,                0.69409,                 1.3054,               0.009505,               0.009505,               0.009505
                     23,                 1.0871,                0.67113,                  1.162,                 0.7148,                0.74799,                0.78227,                0.51538,                 1.2015,                0.70199,                 1.3064,              0.0094803,              0.0094803,              0.0094803
                     24,                  1.074,                0.64973,                 1.1475,                0.72037,                0.77501,                0.79186,                0.51606,                 1.2242,                0.70315,                 1.3068,              0.0094555,              0.0094555,              0.0094555
                     25,                  1.072,                0.64912,                 1.1484,                0.71193,                0.75443,                0.78484,                0.51666,                  1.195,                0.71072,                 1.3008,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.0562,                0.64057,                 1.1502,                0.71342,                0.74095,                0.78538,                0.51606,                 1.1966,                 0.7211,                 1.3198,               0.009406,               0.009406,               0.009406
                     27,                 1.0366,                0.62819,                 1.1319,                0.74621,                0.75098,                0.79621,                0.52271,                 1.2032,                0.68487,                 1.3102,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.0347,                0.64415,                 1.1337,                0.73858,                0.76441,                0.80365,                0.52826,                 1.1865,                0.69483,                 1.2962,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.0337,                0.62035,                 1.1292,                 0.7383,                0.73804,                0.78323,                 0.5166,                 1.1958,                0.69872,                 1.3091,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.0248,                0.62293,                 1.1275,                0.71466,                 0.7648,                0.78804,                0.51691,                 1.2088,                0.68284,                 1.3219,               0.009307,               0.009307,               0.009307
                     31,                 1.0155,                0.60965,                  1.126,                0.73742,                0.72439,                0.78241,                0.51766,                 1.2098,                0.71772,                  1.304,              0.0092823,              0.0092823,              0.0092823
                     32,                0.99796,                0.59778,                 1.1096,                0.74569,                0.76255,                0.79173,                0.52289,                 1.2005,                 0.6772,                 1.3369,              0.0092575,              0.0092575,              0.0092575
                     33,                0.99483,                0.59326,                 1.1101,                0.74516,                0.73622,                0.78481,                0.51369,                 1.2174,                0.70847,                 1.3168,              0.0092327,              0.0092327,              0.0092327
                     34,                0.99177,                0.59531,                 1.1102,                0.70634,                0.75792,                0.77003,                0.49929,                 1.2322,                0.70558,                 1.3021,               0.009208,               0.009208,               0.009208
                     35,                0.98145,                0.59373,                 1.0977,                0.73727,                 0.7653,                0.79876,                0.52621,                 1.1991,                0.67495,                 1.2726,              0.0091833,              0.0091833,              0.0091833
                     36,                0.97788,                0.59951,                 1.1054,                0.73603,                0.76808,                0.80017,                0.52535,                 1.2096,                0.69266,                 1.3465,              0.0091585,              0.0091585,              0.0091585
                     37,                 0.9696,                0.58648,                 1.1059,                0.71642,                0.73388,                0.76831,                0.50318,                 1.2039,                0.70643,                 1.3253,              0.0091337,              0.0091337,              0.0091337
                     38,                0.97531,                0.58539,                 1.0988,                0.76174,                0.72271,                0.78821,                0.51594,                 1.2024,                0.70287,                 1.3178,               0.009109,               0.009109,               0.009109
                     39,                0.95271,                0.57675,                    1.1,                0.72461,                 0.7445,                0.78163,                0.51136,                 1.2041,                0.70547,                 1.3404,              0.0090843,              0.0090843,              0.0090843
                     40,                0.94724,                0.55457,                 1.0924,                 0.7453,                0.74738,                0.79379,                0.51911,                 1.2012,                0.69786,                 1.3177,              0.0090595,              0.0090595,              0.0090595
                     41,                0.94207,                0.55967,                 1.0838,                0.72157,                0.74811,                0.78134,                0.51123,                 1.2123,                0.71152,                 1.3226,              0.0090347,              0.0090347,              0.0090347
                     42,                0.92521,                0.54829,                 1.0794,                0.73257,                0.74792,                0.77845,                 0.5108,                 1.2109,                0.72015,                 1.3552,                0.00901,                0.00901,                0.00901
                     43,                0.91537,                0.54405,                 1.0791,                0.71854,                 0.7753,                0.79046,                0.52082,                 1.2077,                0.70179,                 1.3261,              0.0089853,              0.0089853,              0.0089853
                     44,                0.91452,                 0.5445,                 1.0674,                0.74023,                0.72996,                0.77506,                0.51045,                 1.2243,                0.73904,                 1.3257,              0.0089605,              0.0089605,              0.0089605
                     45,                0.91083,                0.53304,                 1.0674,                0.74656,                0.74882,                0.79386,                0.52189,                 1.2063,                0.70852,                 1.3311,              0.0089358,              0.0089358,              0.0089358
                     46,                0.91532,                0.53959,                 1.0702,                0.72747,                0.76703,                0.79927,                 0.5243,                 1.2027,                0.68833,                 1.3058,               0.008911,               0.008911,               0.008911
                     47,                0.90147,                0.53599,                 1.0645,                0.75591,                0.75141,                0.78899,                0.51622,                 1.2171,                0.69679,                 1.3451,              0.0088863,              0.0088863,              0.0088863
                     48,                0.90242,                0.53707,                 1.0663,                0.73533,                0.75802,                0.78748,                0.51733,                 1.2104,                0.70802,                 1.3264,              0.0088615,              0.0088615,              0.0088615
                     49,                0.89965,                0.52806,                 1.0604,                0.74665,                0.74359,                0.78296,                0.51372,                 1.2078,                 0.7033,                 1.3293,              0.0088368,              0.0088368,              0.0088368
                     50,                0.88977,                0.51557,                 1.0486,                0.74086,                0.73067,                 0.7808,                0.51465,                 1.2012,                0.70575,                 1.2998,               0.008812,               0.008812,               0.008812
                     51,                0.88469,                0.52728,                  1.053,                0.74571,                0.76478,                0.79504,                 0.5204,                 1.2187,                0.70024,                 1.3434,              0.0087872,              0.0087872,              0.0087872
                     52,                0.86513,                0.51095,                 1.0519,                0.73808,                0.73743,                 0.7766,                0.50963,                 1.2129,                0.73178,                 1.3455,              0.0087625,              0.0087625,              0.0087625
