                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.785,                 1.9158,                 1.6334,                0.60945,                0.64475,                0.63365,                0.37954,                 1.3642,                 1.2968,                 1.4406,             0.00041182,             0.00041182,             0.00041182
                      2,                 1.5123,                 1.2734,                 1.4521,                0.53364,                0.71721,                0.56553,                0.32917,                 1.4404,                 1.3538,                 1.5261,             0.00082644,             0.00082644,             0.00082644
                      3,                 1.4809,                 1.1932,                 1.4137,                0.53673,                0.69487,                0.59465,                0.35665,                 1.3706,                 1.2615,                 1.4567,               0.001239,               0.001239,               0.001239
                      4,                 1.4613,                 1.1586,                 1.4003,                 0.6318,                0.70324,                0.67923,                0.40331,                 1.3431,                0.99629,                 1.4316,              0.0012407,              0.0012407,              0.0012407
                      5,                 1.4158,                 1.1038,                 1.3628,                0.58295,                0.71129,                0.64124,                0.38978,                 1.3272,                 1.1049,                 1.4076,              0.0012407,              0.0012407,              0.0012407
                      6,                 1.3853,                 1.0491,                 1.3466,                0.65921,                0.71944,                0.70934,                0.44708,                 1.2786,                0.90344,                  1.343,              0.0012376,              0.0012376,              0.0012376
                      7,                 1.4063,                 1.0875,                 1.3539,                0.61301,                0.74628,                0.68966,                0.42895,                 1.2874,                 1.0003,                 1.3542,              0.0012345,              0.0012345,              0.0012345
                      8,                 1.3578,                 1.0165,                 1.3297,                0.56189,                0.69045,                0.59637,                0.35618,                 1.3692,                 1.3377,                 1.4253,              0.0012314,              0.0012314,              0.0012314
                      9,                 1.3657,                 1.0017,                 1.3325,                 0.6163,                0.69299,                0.64493,                0.39044,                 1.3458,                 1.1169,                 1.4037,              0.0012283,              0.0012283,              0.0012283
                     10,                 1.3411,                0.97778,                  1.307,                0.68403,                0.69919,                0.70507,                0.43773,                 1.3078,                0.92006,                 1.3829,              0.0012252,              0.0012252,              0.0012252
                     11,                 1.3254,                 0.9556,                  1.308,                0.65931,                0.71081,                0.69945,                 0.4305,                 1.2948,                0.87609,                   1.37,              0.0012222,              0.0012222,              0.0012222
                     12,                 1.3078,                0.94459,                 1.2976,                0.64581,                0.71061,                0.67321,                0.41053,                 1.3378,                0.97889,                 1.4031,              0.0012191,              0.0012191,              0.0012191
                     13,                 1.3059,                0.93466,                 1.2968,                0.62678,                0.72108,                0.66895,                0.40719,                 1.3334,                0.94953,                 1.4007,               0.001216,               0.001216,               0.001216
                     14,                 1.2855,                 0.9279,                 1.2832,                0.62341,                0.70332,                0.65504,                0.40665,                 1.3186,                 1.0653,                 1.4016,              0.0012129,              0.0012129,              0.0012129
                     15,                 1.2949,                0.92269,                 1.2954,                0.65249,                0.71745,                0.69313,                0.42835,                 1.2994,                0.87903,                 1.3754,              0.0012098,              0.0012098,              0.0012098
                     16,                 1.2469,                0.87688,                 1.2639,                0.60995,                0.72664,                0.67454,                0.42827,                 1.2761,                 1.1225,                 1.3358,              0.0012067,              0.0012067,              0.0012067
