                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0202,                 3.0827,                 1.6353,                0.32681,                0.57986,                0.30344,                0.16006,                 1.6617,                 2.2924,                 1.3097,             0.00041182,             0.00041182,             0.00041182
                      2,                  1.702,                  1.676,                 1.3764,                0.51701,                0.70362,                 0.5432,                 0.3136,                 1.4564,                  1.461,                 1.2232,             0.00082644,             0.00082644,             0.00082644
                      3,                 1.5819,                 1.4158,                 1.3063,                0.60535,                0.65879,                0.62631,                0.37252,                  1.364,                 1.2038,                 1.1774,               0.001239,               0.001239,               0.001239
                      4,                 1.5369,                 1.3236,                 1.2852,                0.59313,                0.72465,                0.67089,                0.40532,                   1.36,                  1.118,                  1.156,              0.0012407,              0.0012407,              0.0012407
                      5,                 1.5065,                 1.2672,                 1.2637,                0.59994,                0.71325,                0.66662,                0.40276,                 1.3321,                 1.0368,                 1.1624,              0.0012407,              0.0012407,              0.0012407
                      6,                 1.4783,                 1.2099,                 1.2521,                0.66124,                0.69269,                0.69179,                 0.4267,                 1.3282,                 1.0081,                 1.1691,              0.0012376,              0.0012376,              0.0012376
                      7,                 1.4889,                 1.2192,                 1.2563,                0.55949,                0.74543,                0.63006,                0.38369,                 1.3253,                 1.2435,                 1.1564,              0.0012345,              0.0012345,              0.0012345
                      8,                 1.4492,                 1.1653,                 1.2386,                0.58051,                0.72569,                0.61026,                0.36977,                 1.3614,                 1.1671,                 1.1623,              0.0012314,              0.0012314,              0.0012314
                      9,                 1.4377,                 1.1508,                 1.2309,                0.61569,                0.67003,                0.63379,                 0.3873,                 1.3348,                 1.0745,                  1.181,              0.0012283,              0.0012283,              0.0012283
                     10,                 1.4513,                  1.141,                 1.2311,                0.64475,                0.70958,                0.68271,                0.41204,                  1.351,                0.97522,                 1.1732,              0.0012252,              0.0012252,              0.0012252
                     11,                 1.4345,                 1.1275,                 1.2303,                0.66732,                0.69173,                0.70143,                0.42941,                 1.3096,                0.95902,                 1.1849,              0.0012222,              0.0012222,              0.0012222
                     12,                 1.4196,                 1.1104,                 1.2268,                0.61341,                0.71135,                0.64767,                0.38651,                 1.3794,                 1.0362,                 1.2102,              0.0012191,              0.0012191,              0.0012191
                     13,                 1.4105,                 1.0945,                 1.2221,                0.57114,                 0.7241,                0.61366,                0.37301,                 1.3347,                 1.1743,                 1.1816,               0.001216,               0.001216,               0.001216
                     14,                 1.4074,                 1.0952,                 1.2231,                0.61631,                0.74039,                0.69959,                0.43469,                 1.3113,                0.99494,                 1.1701,              0.0012129,              0.0012129,              0.0012129
                     15,                 1.4058,                 1.0876,                 1.2215,                0.65556,                0.70279,                0.69781,                0.43335,                 1.2903,                0.96406,                 1.1751,              0.0012098,              0.0012098,              0.0012098
                     16,                 1.3854,                 1.0538,                 1.2128,                0.61334,                0.71759,                0.67193,                 0.4196,                 1.3142,                 1.0454,                 1.1737,              0.0012067,              0.0012067,              0.0012067
                     17,                 1.3931,                 1.0591,                 1.2157,                 0.6073,                0.72833,                  0.641,                0.39483,                 1.3137,                 1.1464,                 1.1774,              0.0012036,              0.0012036,              0.0012036
                     18,                 1.3878,                 1.0527,                 1.2123,                0.64756,                0.72045,                0.70524,                0.44039,                 1.2985,                0.96718,                 1.1838,              0.0012005,              0.0012005,              0.0012005
                     19,                 1.3773,                 1.0323,                 1.2068,                0.68816,                0.70596,                0.72567,                0.45119,                 1.3135,                0.89307,                 1.1676,              0.0011974,              0.0011974,              0.0011974
                     20,                 1.3607,                  1.017,                 1.1933,                0.61945,                0.72597,                0.68393,                0.42632,                  1.301,                 1.0499,                 1.1871,              0.0011943,              0.0011943,              0.0011943
                     21,                 1.3697,                 1.0214,                 1.2038,                0.63133,                0.73241,                0.67841,                0.41115,                 1.3458,                0.99377,                 1.2078,              0.0011912,              0.0011912,              0.0011912
                     22,                 1.3541,                 1.0034,                 1.1991,                0.64735,                 0.6885,                0.67988,                0.40874,                 1.3459,                0.96203,                 1.1861,              0.0011881,              0.0011881,              0.0011881
                     23,                 1.3419,                0.98527,                  1.191,                0.61572,                0.68538,                0.65526,                 0.4009,                 1.3515,                 1.1113,                 1.1903,               0.001185,               0.001185,               0.001185
                     24,                 1.3478,                 0.9913,                 1.1958,                0.66058,                0.72433,                0.71249,                0.44224,                 1.3086,                0.91385,                  1.183,              0.0011819,              0.0011819,              0.0011819
                     25,                 1.3236,                0.94813,                 1.1796,                0.65719,                0.68652,                0.68145,                0.42021,                 1.3011,                0.95932,                 1.1814,              0.0011788,              0.0011788,              0.0011788
                     26,                 1.3217,                0.96069,                 1.1824,                0.66556,                0.69762,                0.69447,                0.42365,                 1.3333,                0.91331,                 1.1887,              0.0011757,              0.0011757,              0.0011757
                     27,                  1.321,                0.95872,                 1.1853,                0.64984,                0.73426,                0.70598,                 0.4404,                 1.3005,                0.94491,                 1.1766,              0.0011727,              0.0011727,              0.0011727
                     28,                 1.3116,                0.94939,                 1.1731,                0.61685,                0.72376,                0.64721,                0.39789,                  1.326,                 1.0221,                 1.1957,              0.0011696,              0.0011696,              0.0011696
                     29,                 1.3217,                0.96532,                 1.1861,                0.66253,                0.71361,                0.69094,                0.42527,                 1.3225,                0.96808,                  1.177,              0.0011665,              0.0011665,              0.0011665
                     30,                 1.2964,                0.92842,                 1.1705,                0.65669,                0.70479,                0.69409,                0.41802,                 1.3698,                0.91629,                 1.2332,              0.0011634,              0.0011634,              0.0011634
                     31,                 1.3083,                0.94438,                 1.1785,                0.64521,                0.68358,                0.67506,                 0.4178,                 1.3366,                 1.0709,                 1.1897,              0.0011603,              0.0011603,              0.0011603
                     32,                 1.2835,                0.90695,                 1.1592,                0.63287,                0.70663,                0.66647,                0.41331,                 1.3093,                 1.0512,                 1.1842,              0.0011572,              0.0011572,              0.0011572
                     33,                 1.2845,                0.91397,                  1.164,                0.62762,                 0.7122,                0.66292,                0.40584,                  1.342,                 1.0574,                 1.2066,              0.0011541,              0.0011541,              0.0011541
                     34,                 1.2856,                0.91824,                 1.1622,                0.66684,                0.71154,                0.69256,                0.42827,                 1.3111,                0.95073,                 1.1853,               0.001151,               0.001151,               0.001151
                     35,                 1.2773,                 0.8985,                 1.1545,                  0.632,                0.68894,                 0.6327,                0.38012,                  1.362,                 1.1102,                 1.2094,              0.0011479,              0.0011479,              0.0011479
                     36,                 1.2822,                0.91729,                 1.1619,                0.62189,                0.71875,                0.66321,                0.40563,                  1.354,                 1.0989,                  1.197,              0.0011448,              0.0011448,              0.0011448
                     37,                 1.2824,                0.92026,                 1.1695,                0.64983,                0.69443,                0.67938,                0.41512,                 1.3325,                0.91691,                 1.1973,              0.0011417,              0.0011417,              0.0011417
                     38,                 1.2618,                0.89037,                 1.1549,                0.65001,                0.71227,                0.67691,                0.41661,                 1.3395,                0.99473,                 1.2105,              0.0011386,              0.0011386,              0.0011386
                     39,                 1.2751,                0.90903,                 1.1578,                0.62709,                0.70517,                0.66288,                0.40668,                 1.3257,                 1.0782,                 1.2003,              0.0011355,              0.0011355,              0.0011355
                     40,                 1.2603,                0.89523,                 1.1552,                0.63036,                0.71245,                0.66483,                0.41131,                 1.3226,                   1.03,                 1.1937,              0.0011324,              0.0011324,              0.0011324
                     41,                 1.2499,                 0.8887,                 1.1497,                0.62564,                0.70935,                0.65713,                0.40932,                 1.3121,                0.99331,                 1.1834,              0.0011293,              0.0011293,              0.0011293
