                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.941,                 2.2256,                 1.6307,                0.57372,                0.62145,                 0.6097,                0.36037,                 1.4093,                 1.2443,                 1.2785,             0.00041182,             0.00041182,             0.00041182
                      2,                 1.5466,                  1.311,                 1.3415,                0.64549,                0.68505,                0.67722,                0.40986,                 1.3546,                 1.0703,                  1.269,             0.00082644,             0.00082644,             0.00082644
                      3,                 1.4949,                  1.235,                 1.2965,                0.54893,                0.72578,                0.61474,                0.36841,                 1.3463,                 1.1814,                 1.2433,               0.001239,               0.001239,               0.001239
                      4,                 1.4715,                 1.1651,                 1.2854,                0.58541,                0.69813,                0.64486,                0.38236,                  1.357,                 1.1894,                 1.2357,              0.0012407,              0.0012407,              0.0012407
                      5,                 1.4363,                 1.1113,                   1.26,                0.61154,                0.73331,                0.66986,                0.41161,                 1.3044,                 0.9337,                 1.2173,              0.0012407,              0.0012407,              0.0012407
                      6,                 1.4155,                 1.0696,                 1.2487,                0.66124,                0.69722,                0.67851,                0.41755,                 1.3076,                 0.9046,                  1.204,              0.0012376,              0.0012376,              0.0012376
                      7,                   1.42,                 1.0844,                 1.2497,                0.64493,                 0.7256,                0.69494,                0.43142,                 1.3018,                 0.9483,                 1.2044,              0.0012345,              0.0012345,              0.0012345
                      8,                 1.3801,                 1.0275,                 1.2312,                0.60914,                0.71726,                0.63641,                0.38222,                 1.3406,                 1.0951,                 1.2221,              0.0012314,              0.0012314,              0.0012314
                      9,                 1.3656,                 1.0155,                  1.222,                0.64498,                 0.6973,                0.67082,                0.41393,                 1.2993,                0.93842,                 1.1959,              0.0012283,              0.0012283,              0.0012283
                     10,                 1.3735,                 1.0134,                 1.2197,                0.62318,                0.71952,                0.66843,                0.40214,                 1.3409,                 1.0204,                 1.2234,              0.0012252,              0.0012252,              0.0012252
                     11,                 1.3532,                0.99299,                 1.2172,                0.60719,                0.69579,                0.65543,                0.40912,                 1.2813,                  1.037,                 1.2018,              0.0012222,              0.0012222,              0.0012222
                     12,                 1.3431,                0.98494,                 1.2125,                  0.651,                0.71967,                0.69396,                0.42788,                 1.3248,                0.93756,                 1.2106,              0.0012191,              0.0012191,              0.0012191
                     13,                 1.3361,                0.96361,                 1.2099,                 0.6592,                0.71475,                0.68758,                0.42432,                 1.3042,                0.96022,                 1.1954,               0.001216,               0.001216,               0.001216
                     14,                 1.3178,                0.95763,                 1.2014,                0.61418,                0.72047,                 0.6593,                0.40555,                 1.3032,                  1.087,                 1.2087,              0.0012129,              0.0012129,              0.0012129
                     15,                 1.3201,                0.95367,                 1.2056,                 0.6297,                0.69504,                0.68052,                0.41255,                 1.3088,                0.89142,                 1.2209,              0.0012098,              0.0012098,              0.0012098
                     16,                 1.2915,                0.91781,                 1.1899,                0.63119,                0.73778,                0.67705,                0.42173,                 1.2899,                0.98443,                 1.1933,              0.0012067,              0.0012067,              0.0012067
                     17,                 1.2999,                0.92696,                 1.1945,                0.62754,                0.71494,                0.65901,                0.40787,                 1.2969,                  1.078,                 1.2063,              0.0012036,              0.0012036,              0.0012036
                     18,                 1.2818,                0.90989,                 1.1845,                0.65748,                0.72277,                0.68828,                0.41964,                  1.323,                0.90583,                 1.2276,              0.0012005,              0.0012005,              0.0012005
                     19,                 1.2729,                0.89087,                 1.1777,                0.68078,                0.71749,                0.71449,                0.44951,                 1.2823,                0.91536,                 1.1959,              0.0011974,              0.0011974,              0.0011974
                     20,                 1.2499,                0.86981,                 1.1592,                0.64894,                0.73065,                0.68523,                0.42477,                 1.2915,                0.98983,                 1.2107,              0.0011943,              0.0011943,              0.0011943
                     21,                 1.2536,                0.88222,                 1.1683,                0.67251,                0.70552,                0.69759,                0.43424,                 1.2874,                0.90675,                 1.2076,              0.0011912,              0.0011912,              0.0011912
