                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8011,                 2.0248,                 1.7413,                0.62405,                0.69468,                0.68583,                0.42653,                 1.2904,                0.97206,                 1.5013,               0.003306,               0.003306,               0.003306
                      2,                 1.4206,                  1.109,                 1.4272,                0.58312,                0.70752,                0.67457,                0.40732,                 1.3681,                  1.047,                 1.4975,              0.0066229,              0.0066229,              0.0066229
                      3,                 1.4107,                 1.0567,                 1.3738,                0.64759,                0.73441,                0.74409,                0.46899,                 1.2557,                0.92086,                 1.3127,              0.0099233,              0.0099233,              0.0099233
                      4,                  1.372,                 1.0097,                 1.3237,                0.68321,                0.75064,                0.75464,                0.48094,                 1.2364,                0.81979,                 1.3549,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.3487,                0.92585,                 1.2983,                0.65667,                0.73536,                0.73975,                0.47382,                 1.2362,                0.87387,                 1.2911,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.3078,                0.90742,                 1.2735,                0.65198,                0.73411,                0.75586,                0.48325,                 1.2342,                0.78594,                 1.2971,               0.009901,               0.009901,               0.009901
                      7,                 1.2926,                0.85413,                 1.2572,                0.71799,                0.74004,                0.77869,                0.50378,                 1.2083,                0.74519,                 1.3014,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.2709,                0.84593,                 1.2536,                0.66225,                0.75708,                0.76694,                0.48663,                  1.248,                0.78744,                  1.288,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.2488,                0.82527,                 1.2527,                 0.6565,                0.75904,                0.78127,                0.49823,                 1.2459,                0.80685,                 1.3339,              0.0098268,              0.0098268,              0.0098268
                     10,                  1.234,                0.79003,                 1.2379,                0.71111,                0.74688,                0.77117,                0.49605,                 1.2263,                0.74776,                 1.2934,               0.009802,               0.009802,               0.009802
                     11,                 1.2109,                0.76807,                 1.2247,                0.73289,                 0.7272,                0.77955,                0.50035,                 1.2367,                0.75507,                 1.3311,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.1961,                0.76432,                  1.225,                0.73557,                0.72697,                0.78936,                0.51406,                  1.217,                0.73179,                  1.346,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.1839,                0.74414,                 1.2125,                0.74298,                0.75331,                0.79882,                0.52412,                 1.1939,                0.68539,                 1.2938,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.1622,                 0.7261,                 1.2028,                0.75661,                 0.7446,                0.80285,                0.51459,                 1.2328,                 0.7118,                  1.317,               0.009703,               0.009703,               0.009703
                     15,                 1.1489,                0.72117,                 1.1914,                0.71541,                0.75908,                0.79817,                0.52329,                 1.2002,                0.69331,                  1.285,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.1288,                0.69346,                  1.178,                0.72263,                0.73663,                0.79113,                0.51826,                 1.2161,                0.71021,                 1.2955,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.1212,                0.69832,                 1.1756,                 0.7399,                0.75674,                0.79348,                  0.521,                 1.1986,                0.68773,                 1.2986,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.1156,                0.69016,                 1.1685,                0.71299,                0.76472,                0.78732,                0.51508,                 1.1885,                0.68855,                 1.2881,               0.009604,               0.009604,               0.009604
                     19,                 1.1011,                0.66445,                 1.1672,                0.72583,                0.76135,                0.80331,                 0.5262,                 1.1997,                0.68794,                 1.2985,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.0799,                 0.6662,                 1.1511,                0.73026,                0.77189,                0.81547,                0.53608,                 1.1915,                0.67431,                 1.2833,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.0728,                0.64981,                 1.1598,                0.74724,                0.73467,                0.79332,                0.52077,                 1.1972,                0.69461,                 1.3236,              0.0095298,              0.0095298,              0.0095298
