                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7878,                 1.9733,                 1.7245,                0.56045,                0.69508,                0.67192,                0.41795,                 1.2807,                 1.0492,                 1.4909,              0.0033077,              0.0033077,              0.0033077
                      2,                 1.4403,                 1.1275,                 1.4415,                0.59902,                0.68232,                0.66409,                0.42113,                 1.2619,                 1.0088,                 1.4317,              0.0066246,              0.0066246,              0.0066246
                      3,                 1.4216,                 1.0658,                 1.3735,                0.59915,                0.72606,                0.68311,                0.42826,                 1.2564,                0.96732,                  1.319,               0.009925,               0.009925,               0.009925
                      4,                 1.4041,                 1.0192,                 1.3376,                  0.675,                0.73295,                0.74158,                 0.4745,                 1.2276,                0.79299,                 1.3025,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.3618,                0.94418,                 1.2941,                0.63882,                0.75233,                0.76769,                0.47529,                 1.3058,                0.83208,                 1.3139,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.3362,                0.92344,                 1.2824,                0.74322,                0.71139,                0.76528,                0.48178,                  1.259,                0.74173,                 1.2953,               0.009901,               0.009901,               0.009901
                      7,                 1.3152,                0.88058,                 1.2631,                0.71036,                0.73777,                 0.7665,                0.49072,                 1.2236,                0.74229,                 1.2893,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.2927,                  0.863,                 1.2638,                0.68311,                0.75109,                0.76888,                0.49867,                 1.2187,                 0.7576,                 1.2723,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.2718,                0.83299,                  1.259,                0.72537,                0.71469,                0.75925,                 0.4797,                 1.2501,                 0.7749,                 1.3524,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.2569,                0.82629,                 1.2478,                0.73138,                0.73418,                 0.7834,                0.51125,                 1.2087,                0.72304,                 1.2755,               0.009802,               0.009802,               0.009802
                     11,                 1.2434,                0.80465,                 1.2336,                0.74379,                0.72534,                0.79341,                0.51618,                 1.1854,                 0.7207,                 1.2543,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.2186,                0.78988,                 1.2257,                0.70945,                0.74662,                0.79052,                0.51518,                  1.186,                0.72756,                 1.2928,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.2064,                0.75913,                 1.2176,                0.69988,                0.73402,                0.77717,                0.50273,                 1.2237,                0.75779,                 1.2836,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.1834,                0.74271,                 1.1982,                0.70916,                0.76598,                0.78848,                0.51813,                 1.1933,                0.69311,                 1.2595,               0.009703,               0.009703,               0.009703
                     15,                 1.1796,                0.75091,                 1.1981,                0.74434,                0.73498,                0.79168,                0.52124,                 1.1877,                0.70138,                  1.291,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.1583,                0.73098,                 1.1953,                0.75914,                0.72527,                0.80682,                0.52731,                 1.2081,                0.68448,                 1.2893,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.1594,                0.72893,                 1.1934,                0.72279,                0.77702,                0.80452,                0.53202,                 1.1845,                 0.6815,                 1.2679,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.1455,                0.71991,                 1.1855,                0.73922,                0.74548,                0.80686,                0.52017,                 1.2147,                0.69172,                 1.2824,               0.009604,               0.009604,               0.009604
                     19,                 1.1422,                0.71008,                  1.184,                0.71802,                0.75204,                0.78341,                0.51033,                 1.2022,                0.69734,                 1.2913,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.1094,                0.68966,                 1.1727,                0.73694,                0.76012,                0.80955,                0.53599,                 1.1934,                0.67384,                 1.3116,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.1086,                0.68179,                 1.1733,                0.73535,                0.77233,                0.80893,                0.53554,                 1.1926,                0.68553,                 1.2923,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.0914,                0.67651,                 1.1575,                0.73109,                0.75067,                0.79885,                0.51817,                 1.2104,                 0.6916,                 1.3035,               0.009505,               0.009505,               0.009505
                     23,                 1.0779,                0.66547,                 1.1446,                0.75363,                0.75161,                0.80648,                0.53395,                 1.1801,                0.66634,                   1.29,              0.0094803,              0.0094803,              0.0094803
                     24,                 1.0744,                0.66585,                 1.1593,                0.70633,                0.73565,                0.77704,                0.50639,                 1.2024,                 0.7075,                  1.305,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.0694,                0.65385,                 1.1415,                0.73388,                0.74849,                0.79174,                0.52156,                 1.2058,                0.70054,                 1.2834,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.0512,                0.63181,                 1.1352,                0.73151,                0.74326,                0.78886,                0.51526,                  1.195,                0.68433,                 1.3118,               0.009406,               0.009406,               0.009406
                     27,                 1.0447,                0.64379,                 1.1389,                0.70383,                0.75725,                0.77934,                0.50889,                 1.2117,                0.70879,                 1.3147,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.0376,                0.62761,                 1.1372,                0.74203,                0.75866,                0.80371,                0.52581,                 1.2078,                0.68469,                 1.2932,              0.0093565,              0.0093565,              0.0093565
                     29,                  1.021,                0.62036,                 1.1211,                0.72374,                0.75123,                0.78992,                0.51787,                 1.2132,                0.72969,                 1.3147,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.0091,                0.61759,                 1.1197,                0.74701,                0.73318,                0.79213,                0.52077,                 1.2001,                0.68877,                 1.3122,               0.009307,               0.009307,               0.009307
                     31,                 1.0073,                0.60602,                 1.1182,                0.71713,                0.76381,                0.79444,                0.52319,                 1.2156,                  0.708,                 1.3127,              0.0092823,              0.0092823,              0.0092823
                     32,                 1.0005,                0.60832,                 1.1164,                0.73185,                0.76197,                0.80078,                0.52049,                 1.2147,                0.70419,                 1.3261,              0.0092575,              0.0092575,              0.0092575
                     33,                0.99705,                0.60018,                 1.1089,                0.75608,                 0.7402,                0.79611,                0.52381,                 1.2082,                 0.6961,                 1.3126,              0.0092327,              0.0092327,              0.0092327
                     34,                0.98579,                0.59669,                 1.1143,                0.75501,                0.74216,                0.79804,                0.52133,                 1.2058,                 0.6734,                 1.3247,               0.009208,               0.009208,               0.009208
                     35,                0.97624,                0.58207,                 1.1078,                 0.7437,                0.72934,                0.78745,                 0.5152,                 1.2226,                 0.7003,                 1.3513,              0.0091833,              0.0091833,              0.0091833
                     36,                0.96512,                0.57811,                 1.1016,                0.71583,                0.76554,                0.78346,                0.51359,                 1.2167,                0.70012,                 1.3344,              0.0091585,              0.0091585,              0.0091585
                     37,                0.95264,                0.57489,                 1.0969,                0.73716,                0.75617,                0.78793,                0.51751,                 1.2134,                0.69128,                 1.3378,              0.0091337,              0.0091337,              0.0091337
