                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.835,                 2.0875,                 1.7255,                0.60528,                0.67803,                0.67768,                0.41196,                  1.334,                  1.122,                  1.497,              0.0033077,              0.0033077,              0.0033077
                      2,                 1.4646,                 1.1907,                 1.4305,                 0.6724,                0.71034,                0.72041,                0.44518,                 1.2957,                0.91818,                 1.4013,              0.0066246,              0.0066246,              0.0066246
                      3,                 1.4339,                 1.1077,                 1.3614,                0.56258,                0.70999,                0.64752,                0.41163,                 1.2254,                 1.0862,                 1.2643,               0.009925,               0.009925,               0.009925
                      4,                 1.4202,                 1.0512,                 1.3209,                0.66715,                0.72148,                0.74671,                0.47217,                 1.2678,                0.85573,                 1.2955,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.3726,                0.97768,                 1.2909,                0.66645,                0.75206,                0.75974,                0.48832,                 1.2303,                 0.8082,                 1.2454,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.3458,                0.96111,                  1.271,                0.71966,                 0.7453,                0.77559,                 0.4882,                 1.2532,                0.77731,                 1.2571,               0.009901,               0.009901,               0.009901
                      7,                 1.3328,                 0.9117,                 1.2522,                0.72893,                0.71729,                 0.7761,                0.50333,                 1.2159,                0.75217,                 1.2473,              0.0098763,              0.0098763,              0.0098763
                      8,                  1.313,                0.89748,                 1.2507,                0.74473,                0.74233,                0.79622,                 0.5113,                 1.2295,                 0.7302,                 1.2394,              0.0098515,              0.0098515,              0.0098515
                      9,                  1.299,                0.86726,                 1.2441,                0.70827,                0.73614,                0.76417,                0.49085,                 1.2468,                0.77304,                 1.2653,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.2827,                0.86491,                 1.2281,                0.71016,                0.74787,                0.77884,                0.51014,                 1.2105,                0.73656,                 1.2504,               0.009802,               0.009802,               0.009802
                     11,                 1.2714,                0.83944,                 1.2289,                 0.7195,                0.72108,                0.77894,                0.50494,                 1.2086,                 0.7429,                 1.2422,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.2466,                0.82546,                 1.2127,                0.70342,                 0.7461,                0.77646,                 0.5069,                 1.1953,                0.73178,                 1.2269,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.2402,                0.79981,                 1.2107,                0.69201,                0.74358,                0.78004,                 0.5055,                 1.2081,                0.76363,                 1.2459,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.2156,                0.78375,                 1.1976,                0.70207,                0.77226,                0.77977,                0.50869,                 1.2078,                0.73488,                 1.2499,               0.009703,               0.009703,               0.009703
                     15,                 1.2157,                  0.787,                 1.1987,                0.70698,                0.76284,                0.77856,                0.50674,                 1.2079,                0.73569,                 1.2564,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.1976,                0.76883,                 1.1904,                0.72465,                0.75575,                0.79393,                0.51928,                 1.2017,                0.70786,                 1.2274,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.1995,                0.76665,                  1.185,                0.69907,                0.75691,                 0.7854,                0.51294,                 1.1885,                 0.7163,                 1.2411,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.1855,                0.75835,                 1.1867,                0.74239,                0.74696,                0.80339,                0.52733,                 1.1901,                0.68525,                 1.2293,               0.009604,               0.009604,               0.009604
                     19,                  1.181,                0.74522,                 1.1755,                0.71251,                0.76632,                0.79618,                0.51423,                 1.2111,                0.70826,                 1.2405,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.1531,                0.72722,                 1.1698,                0.71279,                0.75225,                0.78904,                0.51666,                 1.2047,                0.72008,                 1.2563,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.1549,                0.72233,                 1.1702,                0.73859,                0.74818,                0.79726,                0.52453,                 1.1969,                0.69048,                 1.2413,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.1392,                0.71761,                 1.1596,                 0.7288,                0.76796,                0.80334,                0.52936,                 1.1899,                0.69126,                 1.2453,               0.009505,               0.009505,               0.009505
                     23,                 1.1247,                0.69922,                 1.1429,                 0.7582,                0.74891,                0.80454,                0.53163,                 1.1939,                0.69394,                 1.2247,              0.0094803,              0.0094803,              0.0094803
                     24,                 1.1232,                 0.7021,                 1.1532,                0.73744,                0.73694,                0.79303,                0.51814,                 1.2069,                0.70997,                 1.2513,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.1197,                0.69165,                 1.1421,                0.75264,                0.72163,                0.79283,                0.51614,                  1.218,                0.70485,                 1.2476,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.1022,                0.67606,                 1.1325,                0.73411,                0.77917,                0.80801,                0.52518,                 1.2114,                0.68106,                 1.2448,               0.009406,               0.009406,               0.009406
                     27,                 1.0973,                0.68745,                 1.1391,                0.73206,                0.77277,                0.80382,                0.52458,                 1.2016,                0.67954,                 1.2285,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.0937,                0.66939,                 1.1381,                0.73522,                0.77082,                0.80736,                0.53297,                 1.2012,                0.68628,                 1.2476,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.0786,                0.66307,                 1.1271,                0.74197,                0.77091,                0.80502,                0.52551,                 1.2152,                0.70814,                 1.2532,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.0641,                 0.6571,                 1.1271,                0.73961,                 0.7391,                0.79587,                0.51864,                 1.2081,                0.70217,                 1.2636,               0.009307,               0.009307,               0.009307
                     31,                 1.0654,                0.65243,                 1.1257,                0.73915,                0.76435,                0.80406,                0.52737,                 1.2113,                0.68816,                 1.2559,              0.0092823,              0.0092823,              0.0092823
                     32,                   1.06,                0.64894,                 1.1254,                0.74585,                0.74529,                0.80031,                0.52411,                 1.2088,                 0.6881,                 1.2613,              0.0092575,              0.0092575,              0.0092575
                     33,                 1.0557,                0.63931,                 1.1158,                0.74086,                0.76495,                0.80571,                0.52785,                 1.2073,                0.69511,                 1.2668,              0.0092327,              0.0092327,              0.0092327
                     34,                 1.0467,                0.63398,                  1.112,                0.74333,                0.74481,                0.79487,                0.52214,                 1.2092,                0.68575,                 1.2372,               0.009208,               0.009208,               0.009208
                     35,                 1.0356,                0.62456,                 1.1092,                0.73076,                0.73364,                0.78782,                  0.517,                 1.2046,                0.70628,                 1.2539,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.0287,                0.61622,                 1.0993,                0.73863,                0.76777,                0.79885,                0.52173,                 1.2163,                0.69135,                 1.2503,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.0163,                0.61847,                 1.1025,                0.72749,                 0.7522,                0.78258,                 0.5119,                 1.2141,                0.70004,                 1.2659,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.0168,                0.61832,                 1.0997,                0.74121,                0.74187,                0.80134,                0.52534,                 1.2134,                0.69834,                 1.2492,               0.009109,               0.009109,               0.009109
                     39,                 1.0138,                 0.6102,                 1.0961,                  0.751,                0.74565,                0.79562,                0.52209,                 1.2015,                0.68913,                 1.2494,              0.0090843,              0.0090843,              0.0090843
                     40,                  1.006,                0.60275,                 1.0957,                0.75451,                0.74857,                0.79478,                0.51974,                 1.2263,                0.71954,                 1.2828,              0.0090595,              0.0090595,              0.0090595
                     41,                0.98846,                0.59931,                 1.0818,                0.75989,                0.74653,                0.80178,                0.52718,                 1.2034,                0.67794,                  1.244,              0.0090347,              0.0090347,              0.0090347
                     42,                0.99676,                  0.605,                 1.0931,                0.74127,                0.73844,                0.78818,                 0.5156,                 1.2183,                0.70909,                 1.2741,                0.00901,                0.00901,                0.00901
                     43,                0.97885,                0.58913,                 1.0782,                0.76008,                0.73983,                0.79479,                0.51823,                 1.2168,                0.69781,                 1.2715,              0.0089853,              0.0089853,              0.0089853
                     44,                0.97445,                0.58218,                 1.0748,                0.75348,                0.75468,                0.80152,                0.53115,                 1.2089,                0.67997,                  1.237,              0.0089605,              0.0089605,              0.0089605
                     45,                0.98035,                0.58797,                 1.0799,                0.76201,                0.74525,                0.79762,                0.52273,                 1.2102,                0.69488,                 1.2534,              0.0089358,              0.0089358,              0.0089358
                     46,                0.97118,                0.58115,                 1.0739,                0.74568,                0.76609,                0.80705,                0.52839,                 1.2068,                0.68931,                   1.27,               0.008911,               0.008911,               0.008911
                     47,                0.97211,                0.57835,                 1.0755,                0.75454,                0.74444,                0.79401,                0.52317,                 1.2083,                0.70093,                 1.2639,              0.0088863,              0.0088863,              0.0088863
                     48,                0.94861,                0.56635,                 1.0679,                0.73589,                0.75775,                 0.7931,                0.51923,                 1.2221,                0.69238,                 1.2709,              0.0088615,              0.0088615,              0.0088615
                     49,                0.95904,                0.57142,                 1.0738,                0.74421,                0.75041,                 0.7941,                0.52113,                  1.203,                0.70336,                  1.253,              0.0088368,              0.0088368,              0.0088368
                     50,                0.94702,                0.56002,                 1.0673,                0.71303,                 0.7604,                0.78411,                0.51533,                 1.2143,                0.71008,                 1.2656,               0.008812,               0.008812,               0.008812
                     51,                0.94718,                0.56259,                 1.0712,                 0.7436,                0.75096,                0.79664,                0.52163,                 1.2216,                0.70957,                 1.2803,              0.0087872,              0.0087872,              0.0087872
                     52,                 0.9373,                0.55979,                  1.061,                0.71413,                0.78667,                0.79825,                0.52223,                  1.221,                0.71021,                 1.2864,              0.0087625,              0.0087625,              0.0087625
                     53,                0.94059,                0.55935,                 1.0624,                0.72784,                 0.7559,                0.78726,                0.51815,                 1.2178,                 0.7121,                 1.2761,              0.0087378,              0.0087378,              0.0087378
                     54,                0.93445,                0.55624,                 1.0598,                0.73888,                0.76377,                0.79678,                0.52346,                 1.2131,                0.69823,                 1.2694,               0.008713,               0.008713,               0.008713
                     55,                0.93283,                 0.5447,                 1.0518,                0.72321,                0.77327,                0.79221,                0.52146,                 1.2087,                0.69598,                 1.2733,              0.0086882,              0.0086882,              0.0086882
                     56,                0.91857,                0.53769,                 1.0534,                0.74629,                0.75632,                0.80006,                0.52883,                 1.2203,                0.70711,                 1.2868,              0.0086635,              0.0086635,              0.0086635
                     57,                0.92228,                0.54241,                 1.0537,                0.74108,                0.75328,                0.79604,                0.52458,                 1.2146,                0.70339,                 1.2784,              0.0086388,              0.0086388,              0.0086388
                     58,                0.91254,                0.54026,                 1.0466,                0.75042,                0.74932,                0.78938,                0.51986,                 1.2114,                0.69634,                  1.292,               0.008614,               0.008614,               0.008614
                     59,                0.91085,                0.53741,                 1.0429,                0.74762,                0.74135,                0.78675,                0.51855,                 1.2133,                 0.6945,                 1.2751,              0.0085893,              0.0085893,              0.0085893
                     60,                0.90241,                0.53337,                 1.0419,                0.74435,                0.76162,                0.80094,                0.52671,                  1.218,                0.69515,                 1.2766,              0.0085645,              0.0085645,              0.0085645
                     61,                0.90969,                 0.5337,                 1.0401,                0.76981,                0.73131,                0.79703,                0.52622,                 1.2086,                0.69325,                  1.255,              0.0085398,              0.0085398,              0.0085398
                     62,                0.89562,                0.52487,                 1.0447,                0.73345,                0.76049,                0.78716,                0.51536,                 1.2187,                0.70057,                 1.2989,               0.008515,               0.008515,               0.008515
                     63,                0.88519,                0.51538,                 1.0297,                0.75219,                0.75088,                0.79323,                0.51817,                 1.2216,                0.70668,                 1.2605,              0.0084903,              0.0084903,              0.0084903
                     64,                0.88164,                0.52038,                 1.0342,                0.73279,                0.75432,                0.78565,                0.51624,                 1.2137,                 0.7138,                 1.2734,              0.0084655,              0.0084655,              0.0084655
                     65,                0.87724,                0.52049,                 1.0338,                0.76016,                0.75193,                0.79181,                0.51861,                 1.2234,                0.71927,                 1.3011,              0.0084408,              0.0084408,              0.0084408
                     66,                0.87266,                0.51017,                 1.0377,                0.73235,                0.77133,                0.79977,                0.52916,                 1.2091,                0.70365,                 1.3026,               0.008416,               0.008416,               0.008416
                     67,                0.88081,                0.51766,                 1.0313,                0.74333,                0.76285,                0.79628,                0.52269,                 1.2211,                0.70899,                 1.2956,              0.0083913,              0.0083913,              0.0083913
                     68,                0.86537,                0.50149,                 1.0245,                0.73187,                0.76901,                0.79271,                0.52071,                 1.2208,                0.70984,                 1.2837,              0.0083665,              0.0083665,              0.0083665
                     69,                0.86766,                0.50687,                 1.0264,                0.76913,                0.74109,                0.79979,                0.52786,                 1.2072,                0.69846,                  1.285,              0.0083418,              0.0083418,              0.0083418
                     70,                0.85951,                 0.5078,                 1.0277,                0.74475,                0.73987,                0.78157,                  0.513,                 1.2242,                0.72439,                  1.313,               0.008317,               0.008317,               0.008317
                     71,                0.86426,                0.50133,                 1.0219,                0.75509,                0.72518,                  0.786,                0.51634,                 1.2137,                0.71707,                 1.2825,              0.0082922,              0.0082922,              0.0082922
                     72,                0.85361,                0.49853,                 1.0227,                0.74062,                0.76351,                 0.7888,                0.51977,                 1.2232,                0.70819,                  1.283,              0.0082675,              0.0082675,              0.0082675
                     73,                 0.8517,                 0.5017,                 1.0208,                0.70055,                0.77086,                0.77587,                0.50952,                  1.223,                0.71871,                 1.2819,              0.0082428,              0.0082428,              0.0082428
                     74,                0.84541,                0.49539,                 1.0131,                 0.7352,                0.75815,                0.78888,                0.51194,                 1.2403,                0.71836,                 1.2998,               0.008218,               0.008218,               0.008218
                     75,                0.84637,                0.49683,                 1.0155,                0.75827,                0.73611,                0.78517,                0.51712,                 1.2182,                0.70712,                 1.2957,              0.0081932,              0.0081932,              0.0081932
                     76,                0.84086,                0.49096,                 1.0128,                0.74928,                0.73268,                0.77879,                0.51311,                  1.217,                 0.7192,                 1.2838,              0.0081685,              0.0081685,              0.0081685
                     77,                0.83552,                0.48613,                 1.0094,                0.74364,                 0.7448,                 0.7848,                0.51462,                 1.2244,                0.71898,                 1.2977,              0.0081437,              0.0081437,              0.0081437
                     78,                0.83594,                0.49152,                 1.0125,                0.73753,                 0.7576,                0.78153,                0.51434,                 1.2182,                0.72307,                  1.297,               0.008119,               0.008119,               0.008119
