                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8895,                  3.111,                  1.648,                0.43003,                0.57097,                0.43346,                0.24695,                 1.4958,                 1.8729,                 1.4383,              0.0033077,              0.0033077,              0.0033077
                      2,                 1.6204,                 1.5104,                 1.4584,                0.64667,                0.68405,                0.68474,                0.40828,                 1.3585,                  1.145,                 1.3267,              0.0066246,              0.0066246,              0.0066246
                      3,                 1.5612,                 1.3307,                 1.3906,                0.56687,                0.70309,                 0.6319,                0.37929,                 1.3253,                 1.2069,                  1.282,               0.009925,               0.009925,               0.009925
                      4,                 1.5295,                 1.2792,                 1.3567,                0.67699,                0.69833,                0.70569,                0.41858,                 1.3404,                 1.0066,                 1.2786,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.4855,                 1.1951,                 1.3228,                0.62314,                0.70163,                0.69141,                0.41837,                 1.3336,                 1.0769,                 1.2663,              0.0099258,              0.0099258,              0.0099258
                      6,                  1.461,                 1.1774,                 1.3085,                0.69458,                0.71037,                 0.7487,                0.46284,                 1.2868,                0.90514,                 1.2305,               0.009901,               0.009901,               0.009901
                      7,                 1.4429,                 1.1335,                  1.286,                0.70147,                 0.7016,                0.73824,                0.46436,                 1.2475,                0.92838,                 1.2206,              0.0098763,              0.0098763,              0.0098763
                      8,                  1.435,                 1.1155,                 1.2901,                0.69931,                0.71925,                0.74175,                0.46648,                 1.2647,                0.89085,                 1.2297,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.4191,                 1.0878,                 1.2823,                 0.7175,                0.71475,                 0.7488,                  0.455,                 1.3185,                0.89689,                 1.2484,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.4121,                 1.0841,                 1.2741,                0.71502,                0.70398,                0.75512,                0.46502,                 1.2839,                0.87923,                 1.2327,               0.009802,               0.009802,               0.009802
                     11,                 1.3993,                 1.0624,                 1.2685,                0.69914,                0.71222,                 0.7563,                0.47834,                 1.2326,                0.87282,                 1.2053,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.3879,                 1.0453,                 1.2588,                0.67704,                0.71327,                0.73941,                0.46623,                 1.2472,                0.90235,                 1.2096,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.3826,                  1.019,                 1.2578,                0.66992,                0.73481,                0.74388,                0.46609,                 1.2712,                0.89425,                 1.2223,              0.0097278,              0.0097278,              0.0097278
                     14,                  1.364,                 1.0111,                 1.2454,                0.70886,                0.71724,                0.75179,                 0.4742,                 1.2566,                0.83732,                 1.2282,               0.009703,               0.009703,               0.009703
                     15,                 1.3706,                 1.0089,                 1.2467,                0.70505,                0.74651,                0.77271,                0.49403,                 1.2293,                0.82924,                 1.2128,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.3582,                0.99957,                 1.2455,                0.73764,                0.73109,                0.78853,                0.50348,                  1.227,                0.80581,                 1.2008,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.3674,                0.98773,                  1.242,                0.73318,                0.72948,                0.77522,                0.49301,                 1.2387,                0.81903,                 1.2132,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.3513,                0.97993,                 1.2405,                0.68341,                0.75593,                0.77678,                0.49693,                 1.2347,                0.83399,                 1.2037,               0.009604,               0.009604,               0.009604
                     19,                 1.3548,                0.97271,                 1.2388,                0.71091,                0.71505,                0.76556,                0.47313,                  1.278,                0.85955,                 1.2255,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.3373,                0.95372,                 1.2298,                0.69349,                0.75206,                0.77621,                0.50054,                 1.2357,                  0.811,                 1.2135,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.3427,                0.94996,                 1.2351,                0.73074,                 0.7386,                0.78765,                0.50289,                 1.2309,                0.79153,                 1.2075,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.3317,                0.94709,                 1.2287,                0.71647,                0.74224,                0.77026,                0.48923,                  1.231,                0.79883,                 1.1949,               0.009505,               0.009505,               0.009505
                     23,                 1.3285,                0.93373,                 1.2169,                0.73385,                0.74484,                0.79752,                0.51404,                 1.2173,                0.76393,                 1.2047,              0.0094803,              0.0094803,              0.0094803
                     24,                 1.3246,                0.93439,                 1.2291,                0.72036,                0.71561,                 0.7754,                0.49746,                 1.2373,                0.81172,                 1.2134,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.3229,                0.92271,                   1.22,                0.74129,                0.71929,                0.77927,                0.49983,                 1.2228,                0.78896,                 1.1989,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.3159,                 0.9026,                 1.2138,                0.69419,                0.73492,                0.78169,                0.50164,                 1.2222,                0.79446,                 1.2008,               0.009406,               0.009406,               0.009406
                     27,                 1.3125,                0.91886,                   1.22,                0.73672,                0.76526,                0.80258,                0.51401,                 1.2257,                0.76127,                 1.2068,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.3099,                0.89907,                 1.2177,                0.73268,                0.73886,                0.78837,                0.50292,                 1.2287,                 0.7681,                 1.2049,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.2952,                0.89169,                 1.2068,                0.73316,                 0.7343,                0.78191,                0.49936,                 1.2406,                0.76951,                 1.2049,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.2972,                0.88892,                 1.2082,                0.73376,                0.75365,                0.79715,                0.51214,                 1.2285,                0.75278,                 1.1995,               0.009307,               0.009307,               0.009307
                     31,                 1.2912,                0.88388,                 1.2052,                0.71183,                 0.7325,                0.76705,                0.49095,                 1.2272,                0.77496,                 1.2064,              0.0092823,              0.0092823,              0.0092823
                     32,                 1.2875,                0.88102,                 1.2082,                 0.7355,                0.74633,                0.79646,                0.51074,                 1.2281,                0.74953,                 1.1971,              0.0092575,              0.0092575,              0.0092575
                     33,                 1.2959,                0.87849,                 1.2066,                0.74357,                0.72837,                0.79482,                0.50809,                 1.2326,                0.75768,                 1.2091,              0.0092327,              0.0092327,              0.0092327
                     34,                 1.2833,                0.86893,                  1.203,                0.71659,                0.73744,                0.77617,                0.49384,                 1.2384,                0.77078,                 1.2011,               0.009208,               0.009208,               0.009208
                     35,                 1.2812,                0.86171,                 1.2023,                0.72952,                0.72671,                0.76666,                0.48878,                 1.2314,                0.77816,                 1.2104,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.2735,                0.84904,                  1.195,                0.75404,                0.73626,                0.79038,                0.51156,                 1.2207,                0.74162,                  1.193,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.2675,                0.85748,                 1.1982,                0.72836,                0.74479,                0.78588,                0.49566,                 1.2516,                0.76742,                  1.215,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.2701,                0.86139,                  1.195,                 0.7563,                0.71049,                 0.7865,                0.50021,                 1.2191,                0.74964,                  1.194,               0.009109,               0.009109,               0.009109
                     39,                 1.2718,                0.85061,                 1.1889,                0.72799,                0.72021,                 0.7831,                0.49733,                 1.2241,                0.78027,                 1.1906,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.2637,                0.84052,                 1.1892,                0.75937,                0.71533,                0.78651,                0.50456,                 1.2234,                 0.7492,                 1.1998,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.2578,                0.83723,                  1.184,                 0.7319,                0.73543,                0.77899,                0.49706,                 1.2237,                0.74602,                 1.1873,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.2591,                0.84615,                 1.1884,                0.73827,                  0.748,                0.79876,                 0.5145,                 1.2213,                0.73387,                    1.2,                0.00901,                0.00901,                0.00901
                     43,                 1.2484,                0.83097,                 1.1792,                0.74685,                0.73374,                0.79452,                0.50822,                 1.2138,                 0.7423,                 1.1886,              0.0089853,              0.0089853,              0.0089853
