                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9509,                 2.3509,                 1.7694,                0.54305,                0.64535,                0.60874,                0.35331,                 1.4028,                 1.2397,                 1.4755,              0.0033077,              0.0033077,              0.0033077
                      2,                 1.5159,                 1.2643,                 1.4157,                0.61432,                0.71202,                0.67818,                0.42218,                 1.2976,                0.97219,                  1.274,              0.0066246,              0.0066246,              0.0066246
                      3,                 1.4731,                 1.1387,                 1.3053,                0.59234,                0.73312,                0.64037,                0.39254,                 1.2743,                 1.0302,                 1.1969,               0.009925,               0.009925,               0.009925
                      4,                 1.4481,                 1.0811,                 1.2645,                0.67837,                0.70844,                0.74476,                0.47337,                 1.2491,                0.83209,                 1.1721,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.4055,                  1.019,                  1.238,                0.64814,                0.74512,                0.75332,                0.46766,                 1.2784,                 0.8734,                 1.1846,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.3843,                0.99846,                 1.2228,                0.69497,                0.70868,                0.76622,                0.47892,                 1.2588,                0.82754,                 1.1662,               0.009901,               0.009901,               0.009901
                      7,                 1.3699,                0.96846,                 1.2067,                0.65874,                0.72558,                0.74277,                0.47371,                 1.2376,                0.84098,                 1.1633,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.3556,                0.94811,                 1.2048,                0.71906,                0.73509,                 0.7783,                0.49941,                 1.2147,                0.74537,                  1.153,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.3394,                0.92699,                  1.199,                0.70828,                0.70162,                0.74488,                0.46736,                 1.2567,                0.83089,                 1.1655,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.3271,                0.92592,                 1.1906,                0.69293,                0.74594,                  0.767,                0.49555,                 1.2156,                0.75479,                 1.1501,               0.009802,               0.009802,               0.009802
                     11,                 1.3203,                0.90239,                 1.1862,                0.71717,                0.73895,                0.77755,                0.50304,                 1.2127,                0.74362,                 1.1418,              0.0097773,              0.0097773,              0.0097773
