                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7906,                 1.9765,                 1.6144,                0.39317,                 0.5945,                0.43321,                0.22857,                 1.5837,                 2.3673,                 1.6378,             0.00040741,             0.00040741,             0.00040741
                      2,                 1.3738,                 1.0745,                 1.3165,                0.52352,                0.68873,                0.56022,                0.33316,                 1.4224,                 1.3933,                 1.4553,             0.00082203,             0.00082203,             0.00082203
                      3,                  1.366,                 1.0159,                 1.3013,                0.51067,                0.69738,                 0.6128,                0.37241,                 1.3486,                 1.6601,                 1.4207,              0.0012346,              0.0012346,              0.0012346
                      4,                 1.3507,                0.98881,                 1.2888,                0.51284,                0.70682,                0.66376,                0.40722,                 1.2901,                 1.3571,                 1.3547,              0.0012407,              0.0012407,              0.0012407
                      5,                 1.3046,                 0.9173,                 1.2689,                0.65592,                 0.7045,                 0.7038,                0.41725,                 1.3503,                0.94619,                 1.3959,              0.0012407,              0.0012407,              0.0012407
                      6,                 1.3243,                0.90093,                 1.2637,                0.64463,                0.70986,                0.71137,                0.43675,                 1.3191,                0.90272,                 1.3507,              0.0012376,              0.0012376,              0.0012376
                      7,                 1.3036,                0.88252,                 1.2726,                0.67953,                0.71748,                0.73232,                0.43468,                 1.3694,                0.93217,                  1.382,              0.0012345,              0.0012345,              0.0012345
                      8,                 1.2767,                0.86286,                 1.2394,                0.62027,                0.70985,                0.71643,                 0.4504,                  1.254,                0.92152,                 1.3353,              0.0012314,              0.0012314,              0.0012314
                      9,                 1.2663,                0.85322,                 1.2355,                0.68492,                0.73803,                0.74704,                 0.4612,                 1.3011,                 0.8221,                 1.3543,              0.0012283,              0.0012283,              0.0012283
                     10,                 1.2536,                0.83427,                 1.2299,                0.65515,                 0.7486,                0.73422,                0.46272,                 1.2651,                0.83475,                 1.3101,              0.0012252,              0.0012252,              0.0012252
                     11,                  1.254,                0.81904,                 1.2305,                0.67892,                0.74846,                0.75851,                0.45907,                 1.3319,                 0.8228,                 1.3698,              0.0012222,              0.0012222,              0.0012222
                     12,                 1.2643,                0.82431,                 1.2346,                0.68633,                 0.7336,                0.74742,                0.46921,                 1.2568,                0.81771,                 1.3132,              0.0012191,              0.0012191,              0.0012191
                     13,                 1.2405,                 0.8187,                 1.2214,                0.70541,                0.73531,                0.76911,                0.48329,                 1.2663,                0.80904,                  1.326,               0.001216,               0.001216,               0.001216
                     14,                 1.2364,                0.80336,                 1.2235,                0.67849,                0.70438,                0.74178,                 0.4715,                 1.2448,                0.84475,                 1.3003,              0.0012129,              0.0012129,              0.0012129
                     15,                 1.2472,                0.79083,                 1.2221,                0.69332,                0.73423,                 0.7419,                0.46411,                 1.2634,                0.80714,                 1.3078,              0.0012098,              0.0012098,              0.0012098
                     16,                 1.2498,                0.78705,                 1.2241,                0.63045,                0.68498,                0.71769,                0.45195,                 1.2753,                0.87837,                 1.3221,              0.0012067,              0.0012067,              0.0012067
                     17,                  1.239,                0.77799,                 1.2215,                0.64346,                0.76871,                0.76357,                0.48555,                 1.2253,                0.76337,                 1.2941,              0.0012036,              0.0012036,              0.0012036
                     18,                 1.2148,                0.75975,                 1.2022,                0.71633,                0.71661,                0.76778,                0.49263,                 1.2148,                0.77465,                 1.2927,              0.0012005,              0.0012005,              0.0012005
                     19,                 1.2278,                0.77552,                   1.21,                0.64812,                0.73339,                0.74129,                0.47106,                 1.2522,                0.86576,                 1.3088,              0.0011974,              0.0011974,              0.0011974
                     20,                 1.2311,                0.76763,                 1.2136,                0.70309,                0.73602,                0.74626,                0.47872,                 1.2344,                0.80559,                 1.3086,              0.0011943,              0.0011943,              0.0011943
                     21,                 1.2149,                  0.768,                  1.207,                0.72305,                0.70992,                0.76673,                0.48921,                 1.2349,                0.76739,                  1.303,              0.0011912,              0.0011912,              0.0011912
                     22,                 1.2003,                0.74945,                 1.2001,                0.68732,                0.72583,                0.74803,                0.46691,                 1.2769,                0.84132,                 1.3236,              0.0011881,              0.0011881,              0.0011881
                     23,                 1.2167,                 0.7594,                 1.2061,                0.73454,                0.72684,                0.78229,                0.50198,                 1.2315,                0.77989,                 1.3054,               0.001185,               0.001185,               0.001185
                     24,                 1.2047,                0.76207,                 1.2078,                0.71367,                0.74198,                0.79005,                0.50881,                 1.2245,                0.75426,                 1.2774,              0.0011819,              0.0011819,              0.0011819
                     25,                 1.2097,                0.73924,                 1.1954,                0.68298,                0.75076,                0.76633,                 0.4926,                 1.2326,                0.79046,                 1.3058,              0.0011788,              0.0011788,              0.0011788
                     26,                 1.2005,                0.72712,                 1.1995,                0.70579,                0.73467,                0.76951,                0.49206,                 1.2289,                0.76819,                 1.2926,              0.0011757,              0.0011757,              0.0011757
                     27,                 1.2024,                0.73328,                 1.1966,                0.73274,                0.74065,                 0.7846,                0.50512,                  1.231,                0.73338,                  1.303,              0.0011727,              0.0011727,              0.0011727
                     28,                 1.1933,                0.72858,                 1.2006,                0.65005,                0.75883,                 0.7482,                0.47056,                 1.2661,                0.78055,                 1.3003,              0.0011696,              0.0011696,              0.0011696
                     29,                 1.1806,                0.71796,                  1.182,                0.72322,                0.74908,                 0.7864,                0.50817,                 1.2131,                0.72622,                 1.2902,              0.0011665,              0.0011665,              0.0011665
