                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0271,                 3.4754,                 1.6776,                0.20104,                0.29646,                0.20591,                0.10803,                 1.6915,                 2.7897,                 1.3588,             0.00040741,             0.00040741,             0.00040741
                      2,                 1.5979,                 2.0928,                 1.2563,                0.31895,                0.46125,                 0.3403,                0.18271,                 1.6045,                 1.7657,                 1.2342,             0.00082203,             0.00082203,             0.00082203
                      3,                 1.5167,                 1.4654,                 1.2316,                0.43385,                 0.6026,                0.53689,                0.30228,                 1.4397,                 1.5587,                  1.266,              0.0012346,              0.0012346,              0.0012346
                      4,                 1.4518,                 1.2466,                 1.2008,                0.56547,                0.66381,                0.62613,                0.36711,                 1.3704,                 1.3551,                 1.2057,              0.0012407,              0.0012407,              0.0012407
                      5,                 1.4045,                 1.1373,                 1.1853,                0.64334,                0.69303,                0.67831,                 0.4147,                 1.3399,                   1.14,                 1.1348,              0.0012407,              0.0012407,              0.0012407
                      6,                  1.395,                 1.0838,                 1.1693,                0.68545,                0.68459,                0.70979,                0.43301,                 1.3426,                 1.1177,                 1.1174,              0.0012376,              0.0012376,              0.0012376
                      7,                 1.3624,                 1.0402,                 1.1669,                0.62795,                0.71374,                0.70347,                 0.4122,                 1.3799,                 1.0497,                  1.183,              0.0012345,              0.0012345,              0.0012345
                      8,                 1.3551,                 1.0269,                 1.1519,                0.66109,                0.70773,                0.72578,                0.44269,                  1.317,                0.98852,                 1.1377,              0.0012314,              0.0012314,              0.0012314
                      9,                 1.3471,                 1.0044,                 1.1461,                0.68895,                0.70505,                0.74232,                0.46367,                 1.2915,                 0.9617,                 1.1437,              0.0012283,              0.0012283,              0.0012283
                     10,                  1.338,                0.99226,                 1.1464,                0.68512,                0.72494,                0.73962,                0.45784,                 1.2941,                0.93921,                 1.1537,              0.0012252,              0.0012252,              0.0012252
                     11,                 1.3242,                 0.9753,                   1.14,                0.70026,                0.70606,                 0.7246,                0.45348,                 1.2785,                0.96702,                 1.1406,              0.0012222,              0.0012222,              0.0012222
                     12,                 1.3223,                0.96829,                  1.138,                0.66375,                0.70346,                0.72714,                0.45313,                 1.2736,                 0.9539,                 1.1294,              0.0012191,              0.0012191,              0.0012191
